ID,Neighborhood,District,Population,Multiplier,Latitude,Longitude,Area,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
778,Zerzavatçı,Beykoz,980,%0.37454,41.1273125,29.1591177,5.3,1,14,91,256,382,467
780,Baklacı,Beykoz,3062,%1.17024,41.062799,29.1602813,5.5,3,43,283,799,1194,1461
794,Cumhuriyet,Beykoz,1966,%0.75137,41.1290646,29.2607444,1.5,2,27,182,513,767,938
796,Dereseki,Beykoz,1513,%0.57824,41.1519802,29.1298336,6.6,1,21,140,395,590,722
804,Mahmutşevketpaşa,Beykoz,1808,%0.69099,41.1521358,29.1889169,,2,25,167,472,705,862
805,Kaynarca,Beykoz,627,%0.23963,41.1801623,29.159345,0.14,1,9,58,164,245,299
808,Poyrazköy,Beykoz,923,%0.35275,41.2062962,29.1334292,0.049,1,13,85,241,360,440
809,İshaklı,Beykoz,1283,%0.49034,41.1396911,29.3027862,0.11,1,18,119,335,500,612
811,Riva,Beykoz,2237,%0.85494,41.2243486,29.2183153,0.053,2,31,207,584,873,1067
817,Paşamandıra,Beykoz,1055,%0.40320,41.1842575,29.2500105,0.41,1,15,97,275,412,503
827,Alibahadır,Beykoz,764,%0.29199,41.1796835,29.2030899,0.49,1,11,71,199,298,364
846,Öğümce,Beykoz,477,%0.18230,41.1632847,29.2667068,0.33,0,7,44,124,186,228
849,Anadolufeneri,Beykoz,750,%0.28664,41.2167549,29.1533999,0.2,1,10,69,196,293,358
868,Kılıçlı,Beykoz,545,%0.20829,41.1529478,29.2997991,0.34,0,8,50,142,213,260
869,Bozhane,Beykoz,475,%0.18154,41.1642867,29.2724593,0.086,0,7,44,124,185,227
924,Göllü,Beykoz,243,%0.09287,41.1752914,29.271656,0.11,0,3,22,63,95,116
937,Polonezköy,Beykoz,377,%0.14408,41.1100356,29.2118111,0.094,0,5,35,98,147,180
304,Büyükşehir,Beylikdüzü,20795,%7.94749,41.0088557,28.647306,0.062,10,138,825,2117,3014,3674
323,Barış,Beylikdüzü,51900,%19.83528,40.9989064,28.6522529,0.1,24,346,2058,5284,7522,9170
356,Adnan Kahveci,Beylikdüzü,86584,%33.09090,40.9950801,28.6256531,0.38,40,577,3434,8816,12548,15298
369,Cumhuriyet,Beylikdüzü,21674,%8.28343,41.0098335,28.6412468,0.4,10,144,860,2207,3141,3830
567,Gürpınar,Beylikdüzü,19557,%7.47435,40.9898645,28.6110486,0.5,9,130,776,1991,2834,3455
594,Yakuplu,Beylikdüzü,43962,%16.80151,40.990113,28.6700436,0.11,20,293,1743,4476,6371,7768
612,Kavaklı,Beylikdüzü,27566,%10.53525,40.9819486,28.6403256,0.093,13,184,1093,2807,3995,4871
622,Marmara,Beylikdüzü,26537,%10.14198,40.9818388,28.6718702,0.54,12,177,1052,2702,3846,4689
670,Sahil,Beylikdüzü,4443,%1.69804,40.9706957,28.6486713728992,0.14,2,30,176,452,644,785
697,Dereağzı,Beylikdüzü,11644,%4.45013,40.986396,28.6166853,0.68,5,78,462,1186,1688,2057
20,Kadı Mehmet Efendi,Beyoğlu,10172,%3.88756,41.0344208,28.9639158,0.11,13,167,877,2027,2752,3347
35,Kalyoncukulluğu,Beyoğlu,3108,%1.18782,41.0284233,28.9736808,0.096,4,51,268,619,841,1023
67,Yenişehir,Beyoğlu,5823,%2.22545,41.0422931,28.9781545,0.092,8,96,502,1160,1575,1916
82,Çukur,Beyoğlu,2735,%1.04527,41.0371981,28.9780949,0.11,4,45,236,545,740,900
98,Kaptanpaşa,Beyoğlu,19818,%7.57410,41.0422767,28.963838,0.065,26,325,1709,3949,5361,6521
103,Piyalepaşa,Beyoğlu,23469,%8.96944,41.0482626,28.9622478,0.17,31,385,2024,4676,6349,7722
105,Fetihtepe,Beyoğlu,15490,%5.92001,41.0482932,28.9568753,0.24,20,254,1336,3086,4190,5097
115,Küçükpiyale,Beyoğlu,9312,%3.55888,41.0284233,28.9736808,0.083,12,153,803,1855,2519,3064
119,Hacıahmet,Beyoğlu,15383,%5.87912,41.042188,28.9739405,0.086,20,253,1327,3065,4162,5061
133,Yahya Kahya,Beyoğlu,3733,%1.42669,41.0339473,28.9715307,0.24,5,61,322,744,1010,1228
142,Sururi,Beyoğlu,4388,%1.67702,41.0368412,28.9723566,0.072,6,72,378,874,1187,1444
144,Bülbül,Beyoğlu,3883,%1.48402,41.0391626,28.9798827,0.42,5,64,335,774,1050,1278
145,Kulaksız,Beyoğlu,9706,%3.70946,41.0376925,28.9607963,0.34,13,159,837,1934,2626,3194
151,Bostan,Beyoğlu,2468,%0.94323,41.0387892,28.9762524,0.064,3,41,213,492,668,812
153,Firuzağa,Beyoğlu,4046,%1.54631,41.030196,28.9806703,0.073,5,66,349,806,1095,1331
168,Keçecipiri,Beyoğlu,14386,%5.49808,41.0284233,28.9736808,0.086,19,236,1241,2867,3892,4733
195,Halıcıoğlu,Beyoğlu,13274,%5.07309,41.0488286,28.9496751,0.064,17,218,1145,2645,3591,4367
209,Piripaşa,Beyoğlu,15706,%6.00256,41.0284233,28.9736808,0.24,20,258,1355,3130,4249,5168
213,Cihangir,Beyoğlu,3482,%1.33076,41.0330402,28.9853187,0.062,5,57,300,694,942,1146
246,Çatmamescit,Beyoğlu,2504,%0.95699,41.0284233,28.9736808,0.14,3,41,216,499,677,824
337,Örnektepe,Beyoğlu,10556,%4.03432,41.0576074,28.9514562,0.16,14,173,911,2103,2856,3473
354,Tomtom,Beyoğlu,2657,%1.01546,41.0302066,28.9775437,,3,44,229,529,719,874
361,Sütlüce,Beyoğlu,12474,%4.76735,41.0510201,28.944692,0.081,16,205,1076,2486,3375,4104
377,İstiklal,Beyoğlu,4481,%1.71256,41.0416191,28.9692374,0.24,6,74,387,893,1212,1474
381,Pürtelaş,Beyoğlu,1872,%0.71545,41.0306987,28.9876883420653,0.14,2,31,161,373,506,616
410,Şehit Muhtar,Beyoğlu,1493,%0.57060,41.0367537,28.9818695,0.64,2,25,129,297,404,491
424,Hacımimi,Beyoğlu,1368,%0.52283,41.0268054,28.9782783,0.6,2,22,118,273,370,450
442,Kuloğlu,Beyoğlu,1463,%0.55913,41.0329638,28.9802501,0.49,2,24,126,292,396,481
444,Kamerhatun,Beyoğlu,886,%0.33861,41.0284233,28.9736808,0.17,1,15,76,177,240,292
467,Kocatepe,Beyoğlu,2136,%0.81634,41.0395972,28.9835719,0.5,3,35,184,426,578,703
525,Kılıçalipaşa,Beyoğlu,2476,%0.94628,41.0284233,28.9736808,0.28,3,41,214,493,670,815
529,Şahkulu,Beyoğlu,840,%0.32103,41.0276403,28.9745318,1,1,14,72,167,227,276
