ID,Neighborhood,District,Population,Multiplier,Latitude,Longitude,Area,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
520,Fenerbahçe,Kadıköy,17657,%6.74820,40.9695548,29.0375465,1.5,37,406,1943,4654,7030,8732
16,Harmantepe,Kağıthane,22007,%8.41069,41.0817386,28.9911801,,9,143,969,3070,5480,7207
19,Gültepe,Kağıthane,13810,%5.27794,41.0810024,28.9949074,1.2,6,90,608,1926,3439,4522
36,Çeliktepe,Kağıthane,32935,%12.58719,41.083673,28.9997851,1,13,214,1451,4594,8201,10785
44,Ortabayır,Kağıthane,22994,%8.78791,41.0780937,29.0039886,1.6,9,149,1013,3207,5725,7530
54,Şirintepe,Kağıthane,21823,%8.34037,41.0889065,28.9909795,3.2,9,141,961,3044,5434,7146
81,Yahya Kemal,Kağıthane,17746,%6.78221,41.0852399,28.987206,1,7,115,782,2475,4419,5811
84,Telsizler,Kağıthane,11774,%4.49982,41.0782105,28.9982061,0.81,5,76,519,1642,2932,3856
96,Sanayi,Kağıthane,36381,%13.90419,41.0909671,28.9978422,1.3,15,236,1603,5075,9059,11914
126,Hürriyet,Kağıthane,20219,%7.72735,41.0736915,28.9852962,0.77,8,131,891,2820,5034,6621
128,Emniyet,Kağıthane,8390,%3.20651,41.0864668,29.0040986,1,3,54,370,1170,2089,2747
182,Gürsel,Kağıthane,30033,%11.47809,41.0709262,28.972669,1.2,12,195,1323,4189,7478,9835
197,Nurtepe,Kağıthane,25628,%9.79458,41.074985,28.9618782,1.3,10,166,1129,3575,6381,8392
199,Çağlayan,Kağıthane,30047,%11.48344,41.0746256,28.9799888,0.9,12,195,1324,4191,7482,9839
212,Yeşilce,Kağıthane,11934,%4.56097,41.0956169,29.0006008,0.91,5,77,526,1665,2972,3908
216,Talatpaşa,Kağıthane,33039,%12.62693,41.063141,28.9635226,2.2,13,214,1455,4609,8227,10819
307,Mehmet Akif Ersoy,Kağıthane,12672,%4.84302,41.0593001,28.9564044,1.4,5,82,558,1768,3155,4150
322,Seyrantepe,Kağıthane,22545,%8.61631,41.0968122,28.9892146,2.3,9,146,993,3145,5614,7383
427,Merkez,Kağıthane,30404,%11.61988,41.079396,28.9692391,10.2,12,197,1339,4241,7571,9956
496,Hamidiye,Kağıthane,38313,%14.64256,41.0965753,28.9719887,21.7,15,248,1688,5344,9540,12546
237,Atalar,Kartal,31275,%11.95276,40.9023827,29.1731105,0.82,18,278,1853,5771,10194,13351
253,Petrol-İş,Kartal,28760,%10.99157,40.8965692,29.1797353,0.66,16,256,1704,5307,9374,12277
269,Yukarımahalle,Kartal,8143,%3.11211,40.88858,29.1856536,1.1,5,72,482,1503,2654,3476
279,Uğur Mumcu,Kartal,41544,%15.87740,40.9326933,29.2127458,0.48,23,370,2461,7667,13541,17734
284,Karlıktepe,Kartal,31049,%11.86639,40.8911521,29.1909073,1.2,17,276,1839,5730,10120,13254
289,Gümüşpınar,Kartal,26464,%10.11408,40.9180416,29.2052689,0.5,15,235,1568,4884,8625,11297
303,Yalı,Kartal,11471,%4.38402,40.8919905,29.2205714,2.8,6,102,680,2117,3739,4897
359,Hürriyet,Kartal,47943,%18.32298,40.9026067,29.2306579,1.8,27,426,2840,8847,15626,20466
372,Ortamahalle,Kartal,18790,%7.18121,40.88858,29.1856536,0.77,11,167,1113,3467,6124,8021
376,Yakacık Yeni,Kartal,16238,%6.20588,40.9204738,29.2246565,1.7,9,144,962,2997,5293,6932
399,Cevizli,Kartal,27267,%10.42097,40.9131929,29.1687352,1.4,15,243,1615,5032,8887,11640
407,Topselvi,Kartal,12201,%4.66301,40.8939427,29.2153856,0.31,7,109,723,2252,3977,5208
415,Soğanlık,Kartal,26713,%10.20924,40.9132162,29.1924269,1.4,15,238,1582,4930,8707,11403
