ID,Type,Name,District,Coords,Latitude,Longitude
69,PARK,MAÇKA DEMOKRASİ PARKI,ŞİŞLİ,"41.04418987 , 28.99375677",41.04418987,28.99375677
70,PARK,AŞİYAN PARKI,BEŞİKTAŞ,"41.08127997 , 29.05413866",41.08127997,29.05413866
71,PARK,BALTALİMANI PARKI,SARIYER,"41.09727847 , 29.05317307",41.09727847,29.05317307
72,PARK,CUMHURİYET MAHALLESİ PARKI,SARIYER,"41.14417201 , 29.03286338",41.14417201,29.03286338
73,PARK,ÇAMLIK PARKI,SARIYER,"41.12539455 , 29.07051640",41.12539455,29.07051640
74,PARK,DUATEPE PARKI,SARIYER,"41.08740571 , 29.05107021",41.08740571,29.05107021
75,PARK,EMİRGAN PARKI,SARIYER,"41.10762670 , 29.05713201",41.10762670,29.05713201
76,PARK,HİDAYETİN BAĞI PARKI,SARIYER,"41.17199611 , 29.05598121",41.17199611,29.05598121
77,PARK,ŞEHİT ÇETİN CAN PARKI,SARIYER,"41.12350160 , 29.03757334",41.12350160,29.03757334
78,PARK,İSTİNYE İDO PARKI,SARIYER,"41.11387815 , 29.06118091",41.11387815,29.06118091
79,PARK,JAPON BAHÇESİ PARKI,SARIYER,"41.09721334 , 29.05219870",41.09721334,29.05219870
80,PARK,NADİR NADİ PARKI,SARIYER,"41.15250944 , 29.04165566",41.15250944,29.04165566
81,PARK,POLİGON PARKI,SARIYER,"41.11648608 , 29.04118896",41.11648608,29.04118896
82,PARK,ŞALCIKIR PARKI,SARIYER,"41.14209386 , 29.04090070",41.14209386,29.04090070
83,PARK,YENİKÖY CAMİ PARKI,SARIYER,"41.12166090 , 29.06986177",41.12166090,29.06986177
84,PARK,YENİKÖY PLAJ  PARKI,SARIYER,"41.11740751 , 29.06486213",41.11740751,29.06486213
85,PARK,PINAR MAHALLESİ PARKI,SARIYER,"41.12611606 , 29.03180122",41.12611606,29.03180122
86,PARK,SARIYER HEZARFEN AHMET ÇELEBİ PARKI,SARIYER,"41.10256846 , 29.03882485",41.10256846,29.03882485
87,PARK,FSM PARKI,SARIYER,"41.08973994 , 29.04682654",41.08973994,29.04682654
88,PARK,SARIYER LİSELİLER PARKI,SARIYER,"41.16327503 , 29.04923558",41.16327503,29.04923558
89,PARK,RUMELİ KAVAĞI SAHİL PARKI,SARIYER,"41.18128688 , 29.07415020",41.18128688,29.07415020
90,PARK,PROF.DR. AZİZ SANCAR PARKI,SARIYER,"41.10468005 , 29.04602498",41.10468005,29.04602498
91,PARK,BEŞİKTAŞ KONAKLAR PARKI,BEŞİKTAŞ,"41.08894356 , 29.01032900",41.08894356,29.01032900
92,PARK,BAŞAKŞEHİR 2.ETAP KORU PARKI,BAŞAKŞEHİR,"41.10538900 , 28.78594500",41.10538900,28.78594500
93,PARK,KAYAŞEHİR  912 ADA PARKI,BAŞAKŞEHİR,"41.10885544 , 28.75573754",41.10885544,28.75573754
94,PARK,BAŞAKŞEHİR ONURKENT PARKI -1,BAŞAKŞEHİR,"41.10978507 , 28.78280640",41.10978507,28.78280640
95,PARK,BAŞAKŞEHİR SPOR PARKI,BAŞAKŞEHİR,"41.12401884 , 28.77528548",41.12401884,28.77528548
96,PARK,GÖÇMEN KONUTLARI PARKI,BAŞAKŞEHİR,"41.10188282 , 28.80011201",41.10188282,28.80011201
97,PARK,KAYAŞEHİR BÖLGE PARKI,BAŞAKŞEHİR,"41.11001950 , 28.75622034",41.11001950,28.75622034
98,PARK,HOŞDERE HAYAT PARKI,BAŞAKŞEHİR,"41.09266975 , 28.65003705",41.09266975,28.65003705
99,PARK,TATARCIK PARKI,BAŞAKŞEHİR,"41.10761862 , 28.67122650",41.10761862,28.67122650
